idx,clientVars,period,p,q,delay,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,packet_deadline_array,delay_time_array,mc,channel_states,mu,activations,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,weight,aoi_lambda
1,0.00063738614505516,11,0.85836081469816,0.2326,33,1.80839736725655e-05,2.6462747476828e-05,0.000170645532901821,,,,,,0.0909090909090909,,,,,,0,8.62645932586125e-09,0.0446765247057197
2,0.000424830895451985,11,0.708114097977095,0.191885902022905,33,1.48728711879701e-05,3.02179956711116e-05,0.000173014813424489,,,,,,0.0909090909090909,,,,,,0,1.08021071887337e-08,0.0751974603170689
3,0.000184861071344214,11,0.668774425867256,0.181225574132744,33,1.00157820211671e-05,4.19861700682224e-05,0.000180224832149307,,,,,,0.0909090909090909,,,,,,0,1.74228773676298e-08,0.0948869154436826
4,0.00017624657814897,11,0.629434753757418,0.170565246242582,33,9.79393756869449e-06,4.2856875115352e-05,0.000180768392499124,,,,,,0.0909090909090909,,,,,,0,1.79220145116304e-08,0.0943298068453162
5,0.000504467911585939,11,0.590095081647579,0.159904918352421,33,1.6153809435539e-05,2.84879871897488e-05,0.000171940436679205,,,,,,0.0909090909090909,,,,,,0,9.81553533815165e-09,0.0704875936294971
6,0.000731994789465637,11,0.55075540953774,0.14924459046226,33,1.93355025361835e-05,2.54316163182629e-05,0.000169957636399316,,,,,,0.0909090909090909,,,,,,0,7.99478209674773e-09,0.0301251544135361
7,0.00100249336340774,11,0.511415737427902,0.138584262572098,33,2.25265396819912e-05,2.35286066487991e-05,0.000168591462009888,,,,,,0.0909090909090909,,,,,,0,6.74026015971565e-09,0.0728306406864997
8,0.000186386168205523,11,0.472076065318063,0.127923934681937,33,1.0054570907844e-05,4.18387108415299e-05,0.000180133291243408,,,,,,0.0909090909090909,,,,,,0,1.73388177662532e-08,0.0494961422401844
9,0.00816637466966345,11,0.432736393208224,0.117263606791775,33,6.317987687085e-05,2.45471483661152e-05,0.000163691723219048,,,,,,0.0909090909090909,,,,,,0,2.24095915802569e-09,0.0960794702468304
10,0.00466508496435031,11,0.393396721098386,0.106603278901614,33,4.78987930132051e-05,2.19859256733863e-05,0.000164509976013554,,,,,,0.0909090909090909,,,,,,0,2.99233913461524e-09,0.0431349878928592
