idx,clientVars,period,p,q,delay,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,packet_deadline_array,delay_time_array,mc,channel_states,mu,activations,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,weight,aoi_lambda
1,0.000609936605242726,11,0.85836081469816,0.2326,4,0.00017560973423659,0.000223532748952435,0.00135719547178572,,,,,,0.0909090909090909,,,,,,0,8.62645932586125e-06,0.0446765247057197
2,0.000390979606025327,11,0.708114097977095,0.191885902022905,3,0.000140719243298405,0.000167069998172852,0.00140125234100888,,,,,,0.0909090909090909,,,,,,0,1.08021071887337e-05,0.0751974603170689
3,0.000152613092381581,11,0.668774425867256,0.181225574132744,2,8.81419015115083e-05,0.000112276158012236,0.00153532293713153,,,,,,0.0909090909090909,,,,,,0,1.74228773676298e-05,0.0948869154436826
4,0.000144394676951796,11,0.629434753757418,0.170565246242582,2,8.57520131171451e-05,0.000112654117829447,0.00154543046429754,,,,,,0.0909090909090909,,,,,,0,1.79220145116304e-05,0.0943298068453162
5,0.000472427979453104,11,0.590095081647579,0.159904918352421,3,0.000154623796119276,0.000167114275721137,0.0013812742610346,,,,,,0.0909090909090909,,,,,,0,9.81553533815164e-06,0.0704875936294971
6,0.000709067926501759,11,0.55075540953774,0.14924459046226,4,0.000189296259223698,0.000222329695897263,0.00134440400789617,,,,,,0.0909090909090909,,,,,,0,7.99478209674773e-06,0.0301251544135361
7,0.000994637190832781,11,0.511415737427902,0.138584262572098,4,0.000224086972815034,0.000224208933306851,0.00131899993867127,,,,,,0.0909090909090909,,,,,,0,6.74026015971565e-06,0.0728306406864997
8,0.000154068038383954,11,0.472076065318063,0.127923934681937,2,8.85583378355568e-05,0.000112220122604104,0.00153362073020365,,,,,,0.0909090909090909,,,,,,0,1.73388177662532e-05,0.0494961422401844
9,0.00890228680164167,11,0.432736393208224,0.117263606791775,12,0.000669206723181024,0.000670335581078755,0.00122788909338705,,,,,,0.0909090909090909,,,,,,0,2.24095915802569e-06,0.0960794702468304
10,0.00500183177050699,11,0.393396721098386,0.106603278901614,9,0.000501769491427254,0.000502969824082313,0.00124310453791298,,,,,,0.0909090909090909,,,,,,0,2.99233913461524e-06,0.0431349878928592
