idx,clientVars,period,p,q,delay,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,packet_deadline_array,delay_time_array,mc,channel_states,mu,activations,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,weight,aoi_lambda
1,0.000609936605242726,11,0.85836081469816,0.2326,2,0.00017560973423659,0.000210843844357992,0.00218243277757328,,,,,,0.0909090909090909,,,,,,0,8.62645932586125e-06,0.0446765247057197
2,0.000390979606025327,11,0.708114097977095,0.191885902022905,1,0.000140719243298405,8.09905180558886e-05,0.00219603057671623,,,,,,0.0909090909090909,,,,,,0,1.08021071887337e-05,0.0751974603170689
3,0.000152613092381581,11,0.668774425867256,0.181225574132744,1,8.81419015115083e-05,0.000105549294104751,0.00223741039033433,,,,,,0.0909090909090909,,,,,,0,1.74228773676298e-05,0.0948869154436826
4,0.000144394676951796,11,0.629434753757418,0.170565246242582,1,8.57520131171451e-05,0.000107655603836951,0.00224052999748434,,,,,,0.0909090909090909,,,,,,0,1.79220145116304e-05,0.0943298068453162
5,0.000472427979453104,11,0.590095081647579,0.159904918352421,1,0.000154623796119276,7.83477241480885e-05,0.00218986450265009,,,,,,0.0909090909090909,,,,,,0,9.81553533815164e-06,0.0704875936294971
6,0.000709067926501759,11,0.55075540953774,0.14924459046226,2,0.000189296259223698,0.000200183550696364,0.00217848479489132,,,,,,0.0909090909090909,,,,,,0,7.99478209674773e-06,0.0301251544135361
7,0.000994637190832781,11,0.511415737427902,0.138584262572098,2,0.000224086972815034,0.000180282941879314,0.00217064403278487,,,,,,0.0909090909090909,,,,,,0,6.74026015971565e-06,0.0728306406864997
8,0.000154068038383954,11,0.472076065318063,0.127923934681937,1,8.85583378355568e-05,0.000105196450185203,0.00223688501782573,,,,,,0.0909090909090909,,,,,,0,1.73388177662532e-05,0.0494961422401844
9,0.00890228680164167,11,0.432736393208224,0.117263606791775,8,0.000669206723181024,0.000870772792535831,0.00214252340152431,,,,,,0.0909090909090909,,,,,,0,2.24095915802569e-06,0.0960794702468304
10,0.00500183177050699,11,0.393396721098386,0.106603278901614,6,0.000501769491427254,0.000653430771232246,0.00214721952637799,,,,,,0.0909090909090909,,,,,,0,2.99233913461524e-06,0.0431349878928592
