idx,clientVars,period,p,q,activations,A_t,U_t,D_t,tot_interrupt_rate,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,packet_deadline_array,delay_time_array,mc,channel_states,mu,delay,current_state,avg_tot_interrupt_rate,avg_tot_interrupt_rate_per_timestep,avg_interrupt_over_runs,theoretical_interrupt_rate,weight,current_aoi_array,time_since_last_packet_was_generated,aoi_lambda,avg_tot_aoi_value
1,0.00119145328511277,21,0.912278308291233,0.15,0,0,0,0,,0.00595726642556383,6.07990585626722e-06,0.00067030962065346,0,,,,,0.0476190476190476,10,0,0,,0,0,1,1,-1,0.0144772469696853,
2,7.04299677232578e-06,21,0.815854363317252,0.134145636682748,0,0,0,0,,7.04299677232578e-05,4.86392468501377e-05,0.00134061924130692,0,,,,,0.0476190476190476,20,0,0,,0,0,1,1,-1,0.0248656286964076,
3,5.44976885718982e-05,21,0.794384511651008,0.130615488348992,0,0,0,0,,0.000817465328578473,0.000164157458119215,0.00201092886196038,0,,,,,0.0476190476190476,30,0,0,,0,0,1,1,-1,0.0276402088340791,
4,2.7952513144298e-05,21,0.772914659984765,0.127085340015235,0,0,0,0,,0.000559050262885961,0.000389113974801102,0.00268123848261384,0,,,,,0.0476190476190476,40,0,0,,0,0,1,1,-1,0.0351740060508414,
5,0.00016826453396675,21,0.751444808318521,0.123555191681478,0,0,0,0,,0.00420661334916875,0.000759988232033402,0.0033515481032673,0,,,,,0.0476190476190476,50,0,0,,0,0,1,1,-1,0.0461213840800764,
6,0.00015082982648047,21,0.729974956652278,0.120025043347722,0,0,0,0,,0.00452489479441411,0.00131325966495372,0.00402185772392076,0,,,,,0.0476190476190476,60,0,0,,0,0,1,1,-1,0.022560942117776,
7,0.000152027523737147,21,0.708505104986034,0.116494895013965,0,0,0,0,,0.00532096333080015,0.00208540770869966,0.00469216734457422,0,,,,,0.0476190476190476,70,0,0,,0,0,1,1,-1,0.0489338831867623,
8,0.000131853985106535,21,0.687035253319791,0.112964746680209,0,0,0,0,,0.00527415940426141,0.00311291179840881,0.00536247696522768,0,,,,,0.0476190476190476,80,0,0,,0,0,1,1,-1,0.00682947011653857,
9,0.000124292461722815,21,0.665565401653547,0.109434598346452,0,0,0,0,,0.00559316077752669,0.0044322513692188,0.00603278658588114,0,,,,,0.0476190476190476,90,0,0,,0,0,1,1,-1,0.0067886378861749,
10,0.0001577327239776,21,0.644095549987304,0.105904450012696,0,0,0,0,,0.00788663619887998,0.00607990585626721,0.0067030962065346,0,,,,,0.0476190476190476,100,0,0,,0,0,1,1,-1,0.0185901862876936,
11,0.000132028325573324,21,0.622625698321061,0.102374301678939,0,0,0,0,,0.00726155790653284,0.00809235469469166,0.00737340582718806,0,,,,,0.0476190476190476,110,0,0,,0,0,1,1,-1,0.0277299443945795,
12,0.000130463345605793,21,0.601155846654817,0.0988441533451827,0,0,0,0,,0.00782780073634758,0.0105060773196297,0.00804371544784153,0,,,,,0.0476190476190476,120,0,0,,0,0,1,1,-1,0.00864369392613867,
13,8.00853827097932e-05,21,0.579685994988574,0.0953140050114262,0,0,0,0,,0.00520554987613656,0.0133575531662191,0.00871402506849499,0,,,,,0.0476190476190476,130,0,0,,0,0,1,1,-1,0.0367050370784579,
14,0.000127103389649619,21,0.55821614332233,0.0917838566776697,0,0,0,0,,0.00889723727547335,0.0166832616695972,0.00938433468914845,0,,,,,0.0476190476190476,140,0,0,,0,0,1,1,-1,0.0439774795845337,
15,0.000125861540367541,21,0.536746291656087,0.0882537083439131,0,0,0,0,,0.00943961552756556,0.0205196822649019,0.0100546443098019,0,,,,,0.0476190476190476,150,0,0,,0,0,1,1,-1,0.0460518862313728,
16,0.000124824688792885,21,0.515276439989843,0.0847235600101566,0,0,0,0,,0.00998597510343077,0.0249032943872705,0.0107249539304554,0,,,,,0.0476190476190476,160,0,0,,0,0,1,1,-1,0.0236896554496358,
17,0.000123032707101267,21,0.4938065883236,0.0811934116764001,0,0,0,0,,0.0104577801036077,0.0298705774718408,0.0113952635511088,0,,,,,0.0476190476190476,170,0,0,,0,0,1,1,-1,0.0250263760137682,
18,0.000108865761377472,21,0.472336736657356,0.0776632633426435,0,0,0,0,,0.00979791852397245,0.0354580109537504,0.0120655731717623,0,,,,,0.0476190476190476,180,0,0,,0,0,1,1,-1,0.0278174208718503,
19,0.000120879738304437,21,0.450866884991113,0.074133115008887,0,0,0,0,,0.0114835751389216,0.0417020742681368,0.0127358827924157,0,,,,,0.0476190476190476,190,0,0,,0,0,1,1,-1,0.0445839879978843,
20,0.000119005679521927,21,0.429397033324869,0.0706029666751305,0,0,0,0,,0.0119005679521927,0.0486392468501377,0.0134061924130692,0,,,,,0.0476190476190476,200,0,0,,0,0,1,1,-1,0.0289700999776036,
