idx,clientVars,period,p,q,delay,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,packet_deadline_array,delay_time_array,mc,channel_states,mu,activations,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,weight,aoi_lambda
1,0.000305749037750811,21,0.912278308291233,0.15,35,4.17834152577176e-06,2.56008419781327e-06,3.8869872981332e-05,,,,,,0.0476190476190476,,,,,,0,4.62421295386565e-10,0.0223382623528599
2,0.000140368617020791,21,0.815854363317252,0.134145636682748,35,3.02453968364516e-06,2.93897220964367e-06,3.93227728528898e-05,,,,,,0.0476190476190476,,,,,,0,8.32135476250069e-10,0.0375987301585345
3,0.000295821153431955,21,0.794384511651008,0.130615488348992,35,4.1197727226692e-06,2.56917890408828e-06,3.88834411307484e-05,,,,,,0.0476190476190476,,,,,,0,4.73497335726444e-10,0.0474434577218413
4,0.000252495767249859,21,0.772914659984765,0.127085340015235,35,3.85184632530684e-06,2.62108462101072e-06,3.89541221056582e-05,,,,,,0.0476190476190476,,,,,,0,5.31196090754861e-10,0.0471649034226581
5,5.89444326065566e-05,21,0.751444808318521,0.123555191681478,35,2.17115234625856e-06,3.82846485965808e-06,4.04417511232466e-05,,,,,,0.0476190476190476,,,,,,0,1.7455871255209e-09,0.0352437968147486
6,6.19024399675881e-05,21,0.729974956652278,0.120025043347722,35,2.21009286230875e-06,3.76272493397032e-06,4.03484776475522e-05,,,,,,0.0476190476190476,,,,,,0,1.66944551270915e-09,0.015062577206768
7,0.000103019798294407,21,0.708505104986034,0.116494895013965,35,2.67709234932513e-06,3.19319442494506e-06,3.96157306048948e-05,,,,,,0.0476190476190476,,,,,,0,1.07128466156026e-09,0.0364153203432499
8,7.10855091717904e-05,21,0.687035253319791,0.112964746680209,35,2.32539215800332e-06,3.58792697732927e-06,4.01098270101879e-05,,,,,,0.0476190476190476,,,,,,0,1.47462866588116e-09,0.0247480711200922
9,0.000109771849472,21,0.665565401653547,0.109434598346452,35,2.74407714676362e-06,3.13574194599319e-06,3.95482060791034e-05,,,,,,0.0476190476190476,,,,,,0,1.01616259968979e-09,0.0480397351234152
10,5.54387205827262e-05,21,0.644095549987304,0.105904450012696,35,2.12371355002428e-06,3.91373585117829e-06,4.05657252703308e-05,,,,,,0.0476190476190476,,,,,,0,1.84679051089579e-09,0.0215674939464296
11,0.000105362786272755,21,0.622625698321061,0.102374301678939,35,2.70057835660543e-06,3.17252060842374e-06,3.95913247426715e-05,,,,,,0.0476190476190476,,,,,,0,1.05136150872492e-09,0.0230626668244082
12,0.000123733461173287,21,0.601155846654817,0.0988441533451827,35,2.87634325982546e-06,3.03491165360681e-06,3.94317472556474e-05,,,,,,0.0476190476190476,,,,,,0,9.21094172378742e-10,0.0282155170259482
13,0.000186865444840396,21,0.579685994988574,0.0953140050114262,35,3.3974585157244e-06,2.75853880143626e-06,3.91186681373706e-05,,,,,,0.0476190476190476,,,,,,0,6.65519381948711e-10,0.043896288502281
14,0.000118027370891468,21,0.55821614332233,0.0917838566776697,35,2.82323700904088e-06,3.07351666102311e-06,3.94760581050241e-05,,,,,,0.0476190476190476,,,,,,0,9.57266294318887e-10,0.0450784554222825
15,0.000106089649979528,21,0.536746291656087,0.0882537083439131,35,2.7078112200768e-06,3.16627105769557e-06,3.95839712953088e-05,,,,,,0.0476190476190476,,,,,,0,1.04535869455129e-09,0.025878899485096
16,5.57005425903011e-05,21,0.515276439989843,0.0847235600101566,35,2.12730739834856e-06,3.90706569445336e-06,4.05559038215138e-05,,,,,,0.0476190476190476,,,,,,0,1.83877300165741e-09,0.0215665891765078
17,9.1565227165313e-05,21,0.4938065883236,0.0811934116764001,35,2.55822102329681e-06,3.30744755856155e-06,3.97529974262342e-05,,,,,,0.0476190476190476,,,,,,0,1.18333920959245e-09,0.0185953530098528
18,0.000746960040303717,21,0.472336736657356,0.0776632633426435,35,6.19293139603904e-06,2.53313852095406e-06,3.86124267433438e-05,,,,,,0.0476190476190476,,,,,,0,2.52261101110481e-10,0.043697199972705
19,7.47155485708469e-05,21,0.450866884991113,0.074133115008887,35,2.3688978737078e-06,3.52881560932364e-06,4.00320659385462e-05,,,,,,0.0476190476190476,,,,,,0,1.41115024005119e-09,0.007939113795324
20,6.19238715402697e-05,21,0.429397033324869,0.0706029666751305,35,2.21037156105494e-06,3.7622675098342e-06,4.0347835542073e-05,,,,,,0.0476190476190476,,,,,,0,1.66892134497109e-09,0.00971869795040451
