idx,clientVars,period,p,q,delay,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,packet_deadline_array,delay_time_array,mc,channel_states,mu,activations,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,weight,aoi_lambda
1,0.000305749037750811,21,0.912278308291233,0.15,54,4.17834152577176e-06,4.61441418246436e-06,4.04793473144837e-05,,,,,,0.0476190476190476,,,,,,0,4.62421295386565e-10,0.0223382623528599
2,0.000140368617020791,21,0.815854363317252,0.134145636682748,34,3.02453968364516e-06,2.98598953347074e-06,4.08954985207492e-05,,,,,,0.0476190476190476,,,,,,0,8.32135476250069e-10,0.0375987301585345
3,0.000295821153431955,21,0.794384511651008,0.130615488348992,53,4.1197727226692e-06,4.53255990226174e-06,4.04918145331804e-05,,,,,,0.0476190476190476,,,,,,0,4.73497335726444e-10,0.0474434577218413
4,0.000252495767249859,21,0.772914659984765,0.127085340015235,49,3.85184632530684e-06,4.2315169856167e-06,4.05567603960873e-05,,,,,,0.0476190476190476,,,,,,0,5.31196090754861e-10,0.0471649034226581
5,5.89444326065566e-05,21,0.751444808318521,0.123555191681478,20,2.17115234625856e-06,1.9346536429272e-06,4.19236819807975e-05,,,,,,0.0476190476190476,,,,,,0,1.7455871255209e-09,0.0352437968147486
6,6.19024399675881e-05,21,0.729974956652278,0.120025043347722,21,2.21009286230875e-06,2.01963451649986e-06,4.18379767910626e-05,,,,,,0.0476190476190476,,,,,,0,1.66944551270915e-09,0.015062577206768
7,0.000103019798294407,21,0.708505104986034,0.116494895013965,28,2.67709234932513e-06,2.51410038917935e-06,4.11646854416073e-05,,,,,,0.0476190476190476,,,,,,0,1.07128466156026e-09,0.0364153203432499
8,7.10855091717904e-05,21,0.687035253319791,0.112964746680209,22,2.32539215800332e-06,2.05991490344745e-06,4.16186904612309e-05,,,,,,0.0476190476190476,,,,,,0,1.47462866588116e-09,0.0247480711200922
9,0.000109771849472,21,0.665565401653547,0.109434598346452,30,2.74407714676362e-06,2.70197437381996e-06,4.11026399109607e-05,,,,,,0.0476190476190476,,,,,,0,1.01616259968979e-09,0.0480397351234152
10,5.54387205827262e-05,21,0.644095549987304,0.105904450012696,19,2.12371355002428e-06,1.85606788553931e-06,4.2037596764384e-05,,,,,,0.0476190476190476,,,,,,0,1.84679051089579e-09,0.0215674939464296
11,0.000105362786272755,21,0.622625698321061,0.102374301678939,29,2.70057835660543e-06,2.61392538389581e-06,4.11422598909679e-05,,,,,,0.0476190476190476,,,,,,0,1.05136150872492e-09,0.0230626668244082
12,0.000123733461173287,21,0.601155846654817,0.0988441533451827,32,2.87634325982546e-06,2.84884769128798e-06,4.09956306515083e-05,,,,,,0.0476190476190476,,,,,,0,9.21094172378742e-10,0.0282155170259482
13,0.000186865444840396,21,0.579685994988574,0.0953140050114262,41,3.3974585157244e-06,3.5714480807862e-06,4.07079550284633e-05,,,,,,0.0476190476190476,,,,,,0,6.65519381948711e-10,0.043896288502281
14,0.000118027370891468,21,0.55821614332233,0.0917838566776697,31,2.82323700904088e-06,2.76657905800136e-06,4.10363460823945e-05,,,,,,0.0476190476190476,,,,,,0,9.57266294318887e-10,0.0450784554222825
15,0.000106089649979528,21,0.536746291656087,0.0882537083439131,29,2.7078112200768e-06,2.60921643447815e-06,4.11355031083271e-05,,,,,,0.0476190476190476,,,,,,0,1.04535869455129e-09,0.025878899485096
16,5.57005425903011e-05,21,0.515276439989843,0.0847235600101566,19,2.12730739834856e-06,1.8540334731514e-06,4.20285722359415e-05,,,,,,0.0476190476190476,,,,,,0,1.83877300165741e-09,0.0215665891765078
17,9.1565227165313e-05,21,0.4938065883236,0.0811934116764001,26,2.55822102329681e-06,2.36162879332144e-06,4.12908143210087e-05,,,,,,0.0476190476190476,,,,,,0,1.18333920959245e-09,0.0185953530098528
18,0.000746960040303717,21,0.472336736657356,0.0776632633426435,90,6.19293139603904e-06,7.67305238060768e-06,4.02427904744061e-05,,,,,,0.0476190476190476,,,,,,0,2.52261101110481e-10,0.043697199972705
19,7.47155485708469e-05,21,0.450866884991113,0.074133115008887,23,2.3688978737078e-06,2.14301443037711e-06,4.15472389864206e-05,,,,,,0.0476190476190476,,,,,,0,1.41115024005119e-09,0.007939113795324
20,6.19238715402697e-05,21,0.429397033324869,0.0706029666751305,21,2.21037156105494e-06,2.01946303422295e-06,4.18373867865462e-05,,,,,,0.0476190476190476,,,,,,0,1.66892134497109e-09,0.00971869795040451
