idx,clientVars,period,p,q,delay,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,packet_deadline_array,delay_time_array,mc,channel_states,mu,activations,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,weight,aoi_lambda
1,0.000305749037750811,21,0.912278308291233,0.15,53,4.17834152577176e-06,4.18251507887173e-06,3.87639880392438e-05,,,,,,0.0476190476190476,,,,,,0,4.62421295386565e-10,0.0223382623528599
2,0.000140368617020791,21,0.815854363317252,0.134145636682748,36,3.02453968364516e-06,3.03668329183927e-06,3.92194796072094e-05,,,,,,0.0476190476190476,,,,,,0,8.32135476250069e-10,0.0375987301585345
3,0.000295821153431955,21,0.794384511651008,0.130615488348992,52,4.1197727226692e-06,4.10885066149604e-06,3.87776338317029e-05,,,,,,0.0476190476190476,,,,,,0,4.73497335726444e-10,0.0474434577218413
4,0.000252495767249859,21,0.772914659984765,0.127085340015235,48,3.85184632530684e-06,3.83491679149532e-06,3.88487192748855e-05,,,,,,0.0476190476190476,,,,,,0,5.31196090754861e-10,0.0471649034226581
5,5.89444326065566e-05,21,0.751444808318521,0.123555191681478,23,2.17115234625856e-06,2.18220251488129e-06,4.03448611736276e-05,,,,,,0.0476190476190476,,,,,,0,1.7455871255209e-09,0.0352437968147486
6,6.19024399675881e-05,21,0.729974956652278,0.120025043347722,24,2.21009286230875e-06,2.26364484465539e-06,4.02510539452274e-05,,,,,,0.0476190476190476,,,,,,0,1.66944551270915e-09,0.015062577206768
7,0.000103019798294407,21,0.708505104986034,0.116494895013965,31,2.67709234932513e-06,2.71352438584958e-06,3.95141137950034e-05,,,,,,0.0476190476190476,,,,,,0,1.07128466156026e-09,0.0364153203432499
8,7.10855091717904e-05,21,0.687035253319791,0.112964746680209,26,2.32539215800332e-06,2.40233160055078e-06,4.00110376417668e-05,,,,,,0.0476190476190476,,,,,,0,1.47462866588116e-09,0.0247480711200922
9,0.000109771849472,21,0.665565401653547,0.109434598346452,32,2.74407714676362e-06,2.77922035283445e-06,3.94462028635584e-05,,,,,,0.0476190476190476,,,,,,0,1.01616259968979e-09,0.0480397351234152
10,5.54387205827262e-05,21,0.644095549987304,0.105904450012696,23,2.12371355002428e-06,2.21602587548775e-06,4.04695447564433e-05,,,,,,0.0476190476190476,,,,,,0,1.84679051089579e-09,0.0215674939464296
11,0.000105362786272755,21,0.622625698321061,0.102374301678939,31,2.70057835660543e-06,2.69829985341193e-06,3.94895682714787e-05,,,,,,0.0476190476190476,,,,,,0,1.05136150872492e-09,0.0230626668244082
12,0.000123733461173287,21,0.601155846654817,0.0988441533451827,34,2.87634325982546e-06,2.91255106036525e-06,3.93290776104269e-05,,,,,,0.0476190476190476,,,,,,0,9.21094172378742e-10,0.0282155170259482
13,0.000186865444840396,21,0.579685994988574,0.0953140050114262,41,3.3974585157244e-06,3.34991353727288e-06,3.90142069128692e-05,,,,,,0.0476190476190476,,,,,,0,6.65519381948711e-10,0.043896288502281
14,0.000118027370891468,21,0.55821614332233,0.0917838566776697,33,2.82323700904088e-06,2.83735386506979e-06,3.93736420263784e-05,,,,,,0.0476190476190476,,,,,,0,9.57266294318887e-10,0.0450784554222825
15,0.000106089649979528,21,0.536746291656087,0.0882537083439131,31,2.7078112200768e-06,2.69370417172675e-06,3.94821727443887e-05,,,,,,0.0476190476190476,,,,,,0,1.04535869455129e-09,0.025878899485096
16,5.57005425903011e-05,21,0.515276439989843,0.0847235600101566,23,2.12730739834856e-06,2.2133650152874e-06,4.04596671048865e-05,,,,,,0.0476190476190476,,,,,,0,1.83877300165741e-09,0.0215665891765078
17,9.1565227165313e-05,21,0.4938065883236,0.0811934116764001,29,2.55822102329681e-06,2.57313048145271e-06,3.96521661187246e-05,,,,,,0.0476190476190476,,,,,,0,1.18333920959245e-09,0.0185953530098528
18,0.000746960040303717,21,0.472336736657356,0.0776632633426435,82,6.19293139603904e-06,6.14719592237511e-06,3.85050685782937e-05,,,,,,0.0476190476190476,,,,,,0,2.52261101110481e-10,0.043697199972705
19,7.47155485708469e-05,21,0.450866884991113,0.074133115008887,26,2.3688978737078e-06,2.37254648527415e-06,3.993283158636e-05,,,,,,0.0476190476190476,,,,,,0,1.41115024005119e-09,0.007939113795324
20,6.19238715402697e-05,21,0.429397033324869,0.0706029666751305,24,2.21037156105494e-06,2.26344796419824e-06,4.02504081653324e-05,,,,,,0.0476190476190476,,,,,,0,1.66892134497109e-09,0.00971869795040451
