idx,clientVars,period,p,q,delay,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,packet_deadline_array,delay_time_array,mc,channel_states,mu,activations,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,weight,aoi_lambda
1,0,21,0.912278308291233,0.15,104,,,0.000337835942302272,,,,,,0.0476190476190476,,,,,,0,3.11453156800177e-08,0.0223382623528599
2,0,21,0.815854363317252,0.134145636682748,104,,,4.467412051788e-05,,,,,,0.0476190476190476,,,,,,0,4.0669005015323e-09,0.0375987301585345
3,0,21,0.794384511651008,0.130615488348992,104,,,1.3861410366851e-05,,,,,,0.0476190476190476,,,,,,0,1.2208295050929e-09,0.0474434577218413
4,0,21,0.772914659984765,0.127085340015235,104,,,6.24913686027792e-06,,,,,,0.0476190476190476,,,,,,0,5.177082691539e-10,0.0471649034226581
5,0,21,0.751444808318521,0.123555191681478,104,,,3.51983706394471e-06,,,,,,0.0476190476190476,,,,,,0,2.65611619659e-10,0.0352437968147486
6,0,21,0.729974956652278,0.120025043347722,104,,,2.30922022688565e-06,,,,,,0.0476190476190476,,,,,,0,1.53790833663e-10,0.015062577206768
7,0,21,0.708505104986034,0.116494895013965,104,,,1.71140400910222e-06,,,,,,0.0476190476190476,,,,,,0,9.8572471166e-11,0.0364153203432499
8,0,21,0.687035253319791,0.112964746680209,104,,,1.36075049994612e-06,,,,,,0.0476190476190476,,,,,,0,6.61837336185e-11,0.0247480711200922
9,0,21,0.665565401653547,0.109434598346452,104,,,1.14749275424107e-06,,,,,,0.0476190476190476,,,,,,0,4.64858011146e-11,0.0480397351234152
10,0,21,0.644095549987304,0.105904450012696,104,,,1.01105348734555e-06,,,,,,0.0476190476190476,,,,,,0,3.38833445834e-11,0.0215674939464296
11,0,21,0.622625698321061,0.102374301678939,104,,,9.1978850584482e-07,,,,,,0.0476190476190476,,,,,,0,2.5453491592e-11,0.0230626668244082
12,0,21,0.601155846654817,0.0988441533451827,104,,,8.5645482161363e-07,,,,,,0.0476190476190476,,,,,,0,1.96035627508e-11,0.0282155170259482
13,0,21,0.579685994988574,0.0953140050114262,104,,,8.11135613054151e-07,,,,,,0.0476190476190476,,,,,,0,1.54175731241e-11,0.043896288502281
14,0,21,0.55821614332233,0.0917838566776697,104,,,7.77855167575467e-07,,,,,,0.0476190476190476,,,,,,0,1.23435653474e-11,0.0450784554222825
15,0,21,0.536746291656087,0.0882537083439131,104,,,7.52866925039691e-07,,,,,,0.0476190476190476,,,,,,0,1.00354817032e-11,0.025878899485096
16,0,21,0.515276439989843,0.0847235600101566,104,,,7.33740786016454e-07,,,,,,0.0476190476190476,,,,,,0,8.2688617181e-12,0.0215665891765078
17,0,21,0.4938065883236,0.0811934116764001,104,,,7.18853575883985e-07,,,,,,0.0476190476190476,,,,,,0,6.8937779696e-12,0.0185953530098528
18,0,21,0.472336736657356,0.0776632633426435,104,,,7.07092967067144e-07,,,,,,0.0476190476190476,,,,,,0,5.8074883349e-12,0.043697199972705
19,0,21,0.450866884991113,0.074133115008887,104,,,6.97679321795421e-07,,,,,,0.0476190476190476,,,,,,0,4.9379801791e-12,0.007939113795324
20,0,21,0.429397033324869,0.0706029666751305,104,,,6.90055148674151e-07,,,,,,0.0476190476190476,,,,,,0,4.233759814e-12,0.00971869795040451
