idx,clientVars,mu,delay,period,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,avg_tot_interrupt_rate,avg_tot_interrupt_rate_per_timestep,avg_interrupt_over_runs,theoretical_interrupt_rate,activations,current_aoi_array,time_since_last_packet_was_generated,aoi_lambda,avg_tot_aoi_value
1,2.91812013482451e-06,0.0476190476190476,2,21,0.912278308291233,0.15,,,,,7125,3416,18,0.00012,7.29530033706127e-07,3.17306329303413e-06,3.3515481032673e-05,0,0,,0,0,0,1,-1,0.0266609034409225,
2,7.26167768530135e-06,0.0476190476190476,2,21,0.815854363317252,0.134145636682748,,,,,7084,3035,59,0.000393333333333333,1.81541942132534e-06,3.17306329303413e-06,3.3515481032673e-05,0,0,,0,0,0,1,-1,0.0285879477920381,
3,2.00638344511286e-06,0.0476190476190476,3,21,0.794384511651008,0.130615488348992,,,,,7100,230,42,0.00028,3.34397240852143e-07,4.7595949395512e-06,2.2343654021782e-05,0,0,,0,0,0,1,-1,0.035031451750624,
4,2.16405028639499e-15,0.0476190476190476,3,21,0.772914659984765,0.127085340015235,,,,,7090,215,53,0.000353333333333333,3.60675047732499e-16,4.7595949395512e-06,2.2343654021782e-05,0,0,,0,0,0,1,-1,0.00926103584802043,
5,4.8892412135263e-06,0.0476190476190476,4,21,0.751444808318521,0.123555191681478,,,,,7075,18,67,0.000446666666666667,6.11155151690788e-07,6.34612658606826e-06,1.67577405163365e-05,0,0,,0,0,0,1,-1,0.0360041795223313,
6,0.0406872059199199,0.0476190476190476,4,21,0.729974956652278,0.120025043347722,,,,,7051,16,89,0.000593333333333333,0.00508590073998999,6.34612658606826e-06,1.67577405163365e-05,0,0,,0,0,0,1,-1,0.0199553131822903,
7,4.62171885890995e-06,0.0476190476190476,5,21,0.708505104986034,0.116494895013965,,,,,7057,0,83,0.000553333333333333,4.62171885890995e-07,7.93265823258533e-06,1.34061924130692e-05,0,0,,0,0,0,1,-1,0.0470596730445013,
8,1.68808753709484e-06,0.0476190476190476,5,21,0.687035253319791,0.112964746680209,,,,,7026,3,114,0.00076,1.68808753709484e-07,7.93265823258533e-06,1.34061924130692e-05,0,0,,0,0,0,1,-1,0.049324265494366,
9,3.99550063579835e-06,0.0476190476190476,6,21,0.665565401653547,0.109434598346452,,,,,6957,0,181,0.00120666666666667,3.32958386316529e-07,9.5191898791024e-06,1.1171827010891e-05,0,0,,0,0,0,1,-1,0.0284796927659375,
10,1.36680125035341e-06,0.0476190476190476,6,21,0.644095549987304,0.105904450012696,,,,,6961,0,177,0.00118,1.13900104196118e-07,9.5191898791024e-06,1.1171827010891e-05,0,0,,0,0,0,1,-1,0.0236335347923449,
11,5.48418924835486e-06,0.0476190476190476,7,21,0.622625698321061,0.102374301678939,,,,,6912,0,226,0.00150666666666667,3.91727803453918e-07,1.11057215256195e-05,9.57585172362086e-06,0,0,,0,0,0,1,-1,0.0381794057932118,
12,4.32768609297769e-07,0.0476190476190476,7,21,0.601155846654817,0.0988441533451827,,,,,6879,1,259,0.00172666666666667,3.09120435212692e-08,1.11057215256195e-05,9.57585172362086e-06,0,0,,0,0,0,1,-1,0.0275521271709414,
13,5.53994610649613e-06,0.0476190476190476,8,21,0.579685994988574,0.0953140050114262,,,,,6745,0,391,0.00260666666666667,3.46246631656008e-07,1.26922531721365e-05,8.37887025816826e-06,0,0,,0,0,0,1,-1,0.0207259241798829,
14,2.70928400877933e-07,0.0476190476190476,8,21,0.55821614332233,0.0917838566776697,,,,,6650,1,486,0.00324,1.69330250548708e-08,1.26922531721365e-05,8.37887025816826e-06,0,0,,0,0,0,1,-1,0.0395100635260272,
15,2.30542662841226e-06,0.0476190476190476,9,21,0.536746291656087,0.0882537083439131,,,,,6641,0,493,0.00328666666666667,1.28079257134015e-07,1.42787848186536e-05,7.44788467392734e-06,0,0,,0,0,0,1,-1,0.020263791264147,
16,1.20737372443235e-06,0.0476190476190476,9,21,0.515276439989843,0.0847235600101566,,,,,6544,0,591,0.00394,6.70763180240193e-08,1.42787848186536e-05,7.44788467392734e-06,0,0,,0,0,0,1,-1,0.0111978960543388,
17,3.04171198568881e-06,0.0476190476190476,10,21,0.4938065883236,0.0811934116764001,,,,,6407,0,728,0.00485333333333333,1.52085599284441e-07,1.58653164651707e-05,6.70309620653461e-06,0,0,,0,0,0,1,-1,0.0437930266488548,
18,2.99796176873503e-06,0.0476190476190476,10,21,0.472336736657356,0.0776632633426435,,,,,6388,0,747,0.00498,1.49898088436751e-07,1.58653164651707e-05,6.70309620653461e-06,0,0,,0,0,0,1,-1,0.0428932580849969,
19,5.43636231722229e-06,0.0476190476190476,11,21,0.450866884991113,0.074133115008887,,,,,6205,0,929,0.00619333333333333,2.47107378055558e-07,1.74518481116877e-05,6.09372382412237e-06,0,0,,0,0,0,1,-1,0.0142346014253558,
20,8.34671403316063e-07,0.0476190476190476,11,21,0.429397033324869,0.0706029666751305,,,,,6123,0,1011,0.00674,3.79396092416392e-08,1.74518481116877e-05,6.09372382412237e-06,0,0,,0,0,0,1,-1,0.0334352804808063,
